"iid","pid","gender","age","date_like","other_like","date_want","other_want","match","self_attr","self_sinc","self_intel","self_fun","self_amb","other_attr","other_sinc","other_intel","other_fun","other_amb","other_shar","date_attr","date_sinc","date_intel","date_fun","date_amb","date_shar","self_imp_attr","self_imp_sinc","self_imp_intel","self_imp_fun","self_imp_amb","self_imp_shar","other_imp_attr","other_imp_sinc","other_imp_intel","other_imp_fun","other_imp_amb","other_imp_shar"
163,151,"male",26,8,7.5,1,0,0,7,8,9,8,7,7,5,7,8,7,7,8,9,8,7,6,5,12,20,20,20,16,12,14.55,16.36,18.18,18.18,16.36,16.36
163,152,"male",26,5,NA,0,0,0,7,8,9,8,7,7,8,7,7,6,8,6,8,8,6,7,5,12,20,20,20,16,12,14,20,20,14,18,14
163,153,"male",26,8,8,1,1,1,7,8,9,8,7,8,8,8,8,6,7,8,10,8,8,8,6,12,20,20,20,16,12,9.76,19.51,19.51,14.63,19.51,17.07
163,154,"male",26,7,8,1,1,1,7,8,9,8,7,9,9,8,9,8,6,8,10,8,8,7,5,12,20,20,20,16,12,15.38,17.31,17.31,17.31,17.31,15.38
163,155,"male",26,7,6,0,0,0,7,8,9,8,7,6,7,6,6,5,7,8,6,6,6,6,7,12,20,20,20,16,12,15.09,18.87,18.87,16.98,16.98,13.21
163,156,"male",26,8,7,1,1,1,7,8,9,8,7,6,9,10,7,10,8,8,9,9,8,8,8,12,20,20,20,16,12,14,18,16,18,18,16
163,157,"male",26,5,3,0,0,0,7,8,9,8,7,5,7,6,5,5,4,7,6,6,6,7,4,12,20,20,20,16,12,14.29,16.33,16.33,18.37,18.37,16.33
164,142,"male",27,6,7,0,1,0,7,9,9,6,4,8,9,10,8,5,6,8,7,9,7,NA,NA,20.51,23.08,20.51,17.95,2.56,15.38,14.29,14.29,21.43,21.43,19.05,9.52
164,143,"male",27,6,8,0,1,0,7,9,9,6,4,8,7,9,8,8,NA,4,9,9,5,NA,NA,20.51,23.08,20.51,17.95,2.56,15.38,8.33,20.83,20.83,14.58,16.67,18.75
164,144,"male",27,7,8,0,0,0,7,9,9,6,4,8,8,7,7,6,7,7,7,9,7,6,5,20.51,23.08,20.51,17.95,2.56,15.38,16,16,16,18,18,16
164,145,"male",27,7,9,0,1,0,7,9,9,6,4,9,10,10,9,8,9,4,8,9,8,NA,7,20.51,23.08,20.51,17.95,2.56,15.38,11.36,18.18,22.73,18.18,11.36,18.18
164,146,"male",27,10,10,1,1,1,7,9,9,6,4,10,9,10,10,8,8,9,10,10,8,8,8,20.51,23.08,20.51,17.95,2.56,15.38,18.18,18.18,18.18,18.18,13.64,13.64
164,147,"male",27,6,5,0,0,0,7,9,9,6,4,6,8,8,6,6,5,9,6,6,8,6,5,20.51,23.08,20.51,17.95,2.56,15.38,18,18,20,18,16,10
164,148,"male",27,6,4,0,0,0,7,9,9,6,4,4,6,7,6,7,2,7,7,7,NA,NA,NA,20.51,23.08,20.51,17.95,2.56,15.38,15.09,16.98,16.98,18.87,18.87,13.21
164,149,"male",27,5,3,0,0,0,7,9,9,6,4,3,7,8,3,3,3,6,6,6,6,NA,NA,20.51,23.08,20.51,17.95,2.56,15.38,8.51,19.15,19.15,19.15,19.15,14.89
164,150,"male",27,9,7,1,0,0,7,9,9,6,4,8,7,6,7,6,7,9,10,9,9,NA,9,20.51,23.08,20.51,17.95,2.56,15.38,12,20,20,20,14,14
164,151,"male",27,7,7,1,0,0,7,9,9,6,4,6,8,8,5,7,8,9,9,7,9,NA,NA,20.51,23.08,20.51,17.95,2.56,15.38,14.55,16.36,18.18,18.18,16.36,16.36
164,152,"male",27,7,7,1,1,1,7,9,9,6,4,6,8,8,7,NA,9,8,9,9,NA,NA,NA,20.51,23.08,20.51,17.95,2.56,15.38,14,20,20,14,18,14
164,153,"male",27,7,7,0,1,0,7,9,9,6,4,6,6,7,7,NA,6,7,8,8,6,NA,6,20.51,23.08,20.51,17.95,2.56,15.38,9.76,19.51,19.51,14.63,19.51,17.07
164,154,"male",27,6,7,0,0,0,7,9,9,6,4,7,9,9,9,7,5,8,7,7,NA,NA,NA,20.51,23.08,20.51,17.95,2.56,15.38,15.38,17.31,17.31,17.31,17.31,15.38
164,155,"male",27,7,8,0,0,0,7,9,9,6,4,6,8,7,7,8,8,5,10,8,NA,7,5,20.51,23.08,20.51,17.95,2.56,15.38,15.09,18.87,18.87,16.98,16.98,13.21
164,156,"male",27,7,6,0,0,0,7,9,9,6,4,7,9,10,6,10,6,8,8,10,7,9,5,20.51,23.08,20.51,17.95,2.56,15.38,14,18,16,18,18,16
164,157,"male",27,8,6,1,0,0,7,9,9,6,4,5,6,6,7,7,6,8,7,8,9,NA,NA,20.51,23.08,20.51,17.95,2.56,15.38,14.29,16.33,16.33,18.37,18.37,16.33
165,142,"male",30,6,7,0,0,0,8,6,9,7,2,6,8,7,6,5,7,8,8,9,7,8,6,16.67,12.5,20.83,18.75,12.5,18.75,14.29,14.29,21.43,21.43,19.05,9.52
165,143,"male",30,6,9,0,1,0,8,6,9,7,2,10,9,9,10,6,NA,6,9,9,6,8,4,16.67,12.5,20.83,18.75,12.5,18.75,8.33,20.83,20.83,14.58,16.67,18.75
165,144,"male",30,7,6,0,0,0,8,6,9,7,2,7,6,6,5,6,5,7,8,10,8,7,6,16.67,12.5,20.83,18.75,12.5,18.75,16,16,16,18,18,16
165,145,"male",30,6,2,0,0,0,8,6,9,7,2,8,8,7,7,5,4,6,8,9,6,8,5,16.67,12.5,20.83,18.75,12.5,18.75,11.36,18.18,22.73,18.18,11.36,18.18
165,146,"male",30,7,6,1,0,0,8,6,9,7,2,8,8,7,NA,NA,7,8,7,9,7,7,7,16.67,12.5,20.83,18.75,12.5,18.75,18.18,18.18,18.18,18.18,13.64,13.64
165,147,"male",30,8,6,1,1,1,8,6,9,7,2,7,7,7,5,6,5,7,8,8,10,8,5,16.67,12.5,20.83,18.75,12.5,18.75,18,18,20,18,16,10
165,148,"male",30,8,1,1,0,0,8,6,9,7,2,6,7,6,1,5,2,8,8,9,6,9,5,16.67,12.5,20.83,18.75,12.5,18.75,15.09,16.98,16.98,18.87,18.87,13.21
165,149,"male",30,7,NA,1,0,0,8,6,9,7,2,8,7,6,4,4,NA,9,7,9,7,6,5,16.67,12.5,20.83,18.75,12.5,18.75,8.51,19.15,19.15,19.15,19.15,14.89
165,150,"male",30,8,7,1,1,1,8,6,9,7,2,9,8,8,7,8,NA,8,10,9,8,8,7,16.67,12.5,20.83,18.75,12.5,18.75,12,20,20,20,14,14
165,151,"male",30,6,4,0,0,0,8,6,9,7,2,8,5,5,4,6,5,10,9,8,10,7,3,16.67,12.5,20.83,18.75,12.5,18.75,14.55,16.36,18.18,18.18,16.36,16.36
165,152,"male",30,7,9,1,1,1,8,6,9,7,2,8,8,7,8,8,9,8,9,10,5,9,5,16.67,12.5,20.83,18.75,12.5,18.75,14,20,20,14,18,14
165,153,"male",30,5,5,0,0,0,8,6,9,7,2,5,5,5,5,NA,6,7,8,8,6,7,5,16.67,12.5,20.83,18.75,12.5,18.75,9.76,19.51,19.51,14.63,19.51,17.07
165,154,"male",30,5,5,0,0,0,8,6,9,7,2,7,9,7,5,5,4,10,8,8,8,10,3,16.67,12.5,20.83,18.75,12.5,18.75,15.38,17.31,17.31,17.31,17.31,15.38
165,155,"male",30,6,5,0,0,0,8,6,9,7,2,7,6,5,6,4,5,9,9,8,6,5,5,16.67,12.5,20.83,18.75,12.5,18.75,15.09,18.87,18.87,16.98,16.98,13.21
165,156,"male",30,6,5,0,0,0,8,6,9,7,2,8,5,10,7,8,6,7,8,7,7,8,6,16.67,12.5,20.83,18.75,12.5,18.75,14,18,16,18,18,16
165,157,"male",30,7,4,1,0,0,8,6,9,7,2,6,7,7,4,5,4,9,7,8,6,8,5,16.67,12.5,20.83,18.75,12.5,18.75,14.29,16.33,16.33,18.37,18.37,16.33
166,142,"male",26,5,5,0,0,0,7,7,7,7,7,8,6,6,8,9,5,4,4,8,4,NA,NA,27.78,19.44,19.44,27.78,2.78,2.78,14.29,14.29,21.43,21.43,19.05,9.52
166,143,"male",26,5,8,0,1,0,7,7,7,7,7,9,8,9,8,8,NA,3,7,7,5,NA,NA,27.78,19.44,19.44,27.78,2.78,2.78,8.33,20.83,20.83,14.58,16.67,18.75
166,144,"male",26,8,7,1,0,0,7,7,7,7,7,7,8,8,7,7,6,7,7,9,9,NA,NA,27.78,19.44,19.44,27.78,2.78,2.78,16,16,16,18,18,16
166,145,"male",26,5,3,0,0,0,7,7,7,7,7,7,7,7,7,7,4,5,7,7,6,NA,NA,27.78,19.44,19.44,27.78,2.78,2.78,11.36,18.18,22.73,18.18,11.36,18.18
166,146,"male",26,7,6,0,0,0,7,7,7,7,7,5,8,6,6,NA,NA,7,7,7,7,NA,NA,27.78,19.44,19.44,27.78,2.78,2.78,18.18,18.18,18.18,18.18,13.64,13.64
166,147,"male",26,8,7,1,1,1,7,7,7,7,7,8,8,8,6,8,7,8,8,8,9,NA,NA,27.78,19.44,19.44,27.78,2.78,2.78,18,18,20,18,16,10
166,148,"male",26,8,7,1,0,0,7,7,7,7,7,7,8,7,5,5,2,8,8,8,8,8,NA,27.78,19.44,19.44,27.78,2.78,2.78,15.09,16.98,16.98,18.87,18.87,13.21
166,149,"male",26,7,7,1,1,1,7,7,7,7,7,8,5,6,3,7,8,7,7,7,7,NA,NA,27.78,19.44,19.44,27.78,2.78,2.78,8.51,19.15,19.15,19.15,19.15,14.89
166,150,"male",26,7,5,0,0,0,7,7,7,7,7,6,5,6,5,8,NA,5,7,9,8,9,NA,27.78,19.44,19.44,27.78,2.78,2.78,12,20,20,20,14,14
166,151,"male",26,NA,5,0,0,0,7,7,7,7,7,6,4,6,6,5,6,8,8,8,8,NA,NA,27.78,19.44,19.44,27.78,2.78,2.78,14.55,16.36,18.18,18.18,16.36,16.36
166,152,"male",26,7,5,0,0,0,7,7,7,7,7,5,5,6,5,NA,7,8,8,NA,5,NA,NA,27.78,19.44,19.44,27.78,2.78,2.78,14,20,20,14,18,14
166,153,"male",26,5,4,0,0,0,7,7,7,7,7,4,4,5,4,NA,NA,6,7,7,4,NA,NA,27.78,19.44,19.44,27.78,2.78,2.78,9.76,19.51,19.51,14.63,19.51,17.07
166,154,"male",26,7,8,1,1,1,7,7,7,7,7,9,9,9,9,9,7,7,7,7,7,NA,NA,27.78,19.44,19.44,27.78,2.78,2.78,15.38,17.31,17.31,17.31,17.31,15.38
166,155,"male",26,7,5,1,0,0,7,7,7,7,7,8,7,7,6,6,5,7,7,7,7,NA,NA,27.78,19.44,19.44,27.78,2.78,2.78,15.09,18.87,18.87,16.98,16.98,13.21
166,156,"male",26,7,7,1,0,0,7,7,7,7,7,7,6,10,9,10,6,7,7,7,7,NA,NA,27.78,19.44,19.44,27.78,2.78,2.78,14,18,16,18,18,16
166,157,"male",26,8,7,1,0,0,7,7,7,7,7,6,7,7,7,7,6,8,8,8,8,NA,NA,27.78,19.44,19.44,27.78,2.78,2.78,14.29,16.33,16.33,18.37,18.37,16.33
167,142,"male",23,6,8,1,1,1,6,7,7,7,5,8,8,8,8,8,8,7,6,7,6,4,4,18.6,13.95,18.6,16.28,16.28,16.28,14.29,14.29,21.43,21.43,19.05,9.52
167,143,"male",23,3,5,0,0,0,6,7,7,7,5,5,6,7,6,4,NA,3,7,6,4,5,2,18.6,13.95,18.6,16.28,16.28,16.28,8.33,20.83,20.83,14.58,16.67,18.75
167,144,"male",23,3,6,0,0,0,6,7,7,7,5,6,7,8,7,7,7,4,6,5,4,5,6,18.6,13.95,18.6,16.28,16.28,16.28,16,16,16,18,18,16
167,145,"male",23,3,8,0,0,0,6,7,7,7,5,10,9,9,8,7,4,2,6,6,4,5,5,18.6,13.95,18.6,16.28,16.28,16.28,11.36,18.18,22.73,18.18,11.36,18.18
167,146,"male",23,3,6,0,0,0,6,7,7,7,5,5,7,8,7,NA,NA,3,6,8,2,5,3,18.6,13.95,18.6,16.28,16.28,16.28,18.18,18.18,18.18,18.18,13.64,13.64
167,147,"male",23,5,6,0,0,0,6,7,7,7,5,6,6,6,6,6,5,3,6,5,8,2,4,18.6,13.95,18.6,16.28,16.28,16.28,18,18,20,18,16,10
167,148,"male",23,5,6,1,0,0,6,7,7,7,5,3,8,8,5,8,2,6,5,6,5,4,3,18.6,13.95,18.6,16.28,16.28,16.28,15.09,16.98,16.98,18.87,18.87,13.21
167,149,"male",23,7,5,1,0,0,6,7,7,7,5,4,6,7,7,5,8,6,6,6,5,4,4,18.6,13.95,18.6,16.28,16.28,16.28,8.51,19.15,19.15,19.15,19.15,14.89
167,150,"male",23,6,7,1,1,1,6,7,7,7,5,7,7,8,8,8,8,7,5,6,7,5,4,18.6,13.95,18.6,16.28,16.28,16.28,12,20,20,20,14,14
167,151,"male",23,7,3,1,0,0,6,7,7,7,5,6,3,6,5,4,7,8,8,5,4,3,4,18.6,13.95,18.6,16.28,16.28,16.28,14.55,16.36,18.18,18.18,16.36,16.36
167,152,"male",23,7,NA,1,1,1,6,7,7,7,5,7,9,8,8,8,7,7,8,8,6,5,3,18.6,13.95,18.6,16.28,16.28,16.28,14,20,20,14,18,14
167,153,"male",23,4,5,0,1,0,6,7,7,7,5,5,6,7,7,NA,5,4,8,6,5,6,4,18.6,13.95,18.6,16.28,16.28,16.28,9.76,19.51,19.51,14.63,19.51,17.07
167,154,"male",23,6,8,1,0,0,6,7,7,7,5,8,8,8,8,8,8,5,7,7,6,6,6,18.6,13.95,18.6,16.28,16.28,16.28,15.38,17.31,17.31,17.31,17.31,15.38
167,155,"male",23,6,4,1,0,0,6,7,7,7,5,5,5,6,6,6,3,6,6,5,4,4,3,18.6,13.95,18.6,16.28,16.28,16.28,15.09,18.87,18.87,16.98,16.98,13.21
167,156,"male",23,6,6,1,0,0,6,7,7,7,5,6,9,10,6,9,4,7,6,6,5,6,4,18.6,13.95,18.6,16.28,16.28,16.28,14,18,16,18,18,16
167,157,"male",23,6,3,1,0,0,6,7,7,7,5,4,5,5,6,3,4,6,7,6,6,5,4,18.6,13.95,18.6,16.28,16.28,16.28,14.29,16.33,16.33,18.37,18.37,16.33
168,142,"male",23,8,10,1,1,1,5,5,5,5,5,6,9,9,10,9,10,8,8,7,7,7,8,11.11,17.78,17.78,17.78,17.78,17.78,14.29,14.29,21.43,21.43,19.05,9.52
168,143,"male",23,6,7,0,1,0,5,5,5,5,5,7,8,9,9,9,NA,5,5,5,6,6,6,11.11,17.78,17.78,17.78,17.78,17.78,8.33,20.83,20.83,14.58,16.67,18.75
168,144,"male",23,7,5,1,0,0,5,5,5,5,5,5,5,6,6,5,5,8,8,8,8,8,8,11.11,17.78,17.78,17.78,17.78,17.78,16,16,16,18,18,16
168,145,"male",23,7,8,1,0,0,5,5,5,5,5,6,9,8,8,7,10,7,7,7,7,7,7,11.11,17.78,17.78,17.78,17.78,17.78,11.36,18.18,22.73,18.18,11.36,18.18
168,146,"male",23,4,6,0,0,0,5,5,5,5,5,6,8,10,NA,NA,NA,4,6,7,6,6,3,11.11,17.78,17.78,17.78,17.78,17.78,18.18,18.18,18.18,18.18,13.64,13.64
168,147,"male",23,5,4,0,0,0,5,5,5,5,5,4,8,8,4,4,3,4,7,8,7,5,7,11.11,17.78,17.78,17.78,17.78,17.78,18,18,20,18,16,10
168,148,"male",23,7,5,1,0,0,5,5,5,5,5,2,8,8,4,2,2,7,8,8,6,6,5,11.11,17.78,17.78,17.78,17.78,17.78,15.09,16.98,16.98,18.87,18.87,13.21
168,149,"male",23,6,4,0,0,0,5,5,5,5,5,4,7,8,4,7,NA,5,6,6,6,6,6,11.11,17.78,17.78,17.78,17.78,17.78,8.51,19.15,19.15,19.15,19.15,14.89
168,150,"male",23,7,8,1,0,0,5,5,5,5,5,7,8,8,8,8,NA,8,7,7,7,7,7,11.11,17.78,17.78,17.78,17.78,17.78,12,20,20,20,14,14
168,151,"male",23,8,4,1,0,0,5,5,5,5,5,6,3,7,4,5,4,9,8,7,7,8,7,11.11,17.78,17.78,17.78,17.78,17.78,14.55,16.36,18.18,18.18,16.36,16.36
168,152,"male",23,7,6,1,0,0,5,5,5,5,5,4,7,7,6,7,5,7,7,7,7,7,6,11.11,17.78,17.78,17.78,17.78,17.78,14,20,20,14,18,14
168,153,"male",23,6,6,0,1,0,5,5,5,5,5,5,6,6,6,NA,NA,7,7,7,6,6,5,11.11,17.78,17.78,17.78,17.78,17.78,9.76,19.51,19.51,14.63,19.51,17.07
168,154,"male",23,9,5,1,0,0,5,5,5,5,5,5,9,7,5,7,5,8,8,8,8,8,8,11.11,17.78,17.78,17.78,17.78,17.78,15.38,17.31,17.31,17.31,17.31,15.38
168,155,"male",23,7,4,1,0,0,5,5,5,5,5,3,6,4,6,6,3,7,7,7,7,7,7,11.11,17.78,17.78,17.78,17.78,17.78,15.09,18.87,18.87,16.98,16.98,13.21
168,156,"male",23,6,7,0,0,0,5,5,5,5,5,6,9,10,9,10,5,7,8,8,7,7,6,11.11,17.78,17.78,17.78,17.78,17.78,14,18,16,18,18,16
168,157,"male",23,9,2,1,0,0,5,5,5,5,5,2,8,8,7,6,7,6,8,8,8,8,8,11.11,17.78,17.78,17.78,17.78,17.78,14.29,16.33,16.33,18.37,18.37,16.33
169,142,"male",28,8,10,1,1,1,7,9,8,7,7,10,10,10,10,10,10,8,8,9,8,7,8,17.78,20,17.78,15.56,15.56,13.33,14.29,14.29,21.43,21.43,19.05,9.52
169,143,"male",28,7,8,0,1,0,7,9,8,7,7,8,9,9,8,8,8,7,9,9,8,8,8,17.78,20,17.78,15.56,15.56,13.33,8.33,20.83,20.83,14.58,16.67,18.75
169,144,"male",28,8,7,0,1,0,7,9,8,7,7,7,7,8,8,6,7,8,7,8,9,7,9,17.78,20,17.78,15.56,15.56,13.33,16,16,16,18,18,16
169,145,"male",28,8,7,0,0,0,7,9,8,7,7,9,7,9,7,7,5,7,9,9,8,9,8,17.78,20,17.78,15.56,15.56,13.33,11.36,18.18,22.73,18.18,11.36,18.18
169,146,"male",28,7,7,0,0,0,7,9,8,7,7,8,8,8,8,NA,NA,7,8,9,7,8,7,17.78,20,17.78,15.56,15.56,13.33,18.18,18.18,18.18,18.18,13.64,13.64
169,147,"male",28,9,7,1,1,1,7,9,8,7,7,8,7,8,7,7,5,10,8,8,9,8,NA,17.78,20,17.78,15.56,15.56,13.33,18,18,20,18,16,10
169,148,"male",28,9,6,1,1,1,7,9,8,7,7,8,8,8,5,5,2,9,9,9,NA,9,NA,17.78,20,17.78,15.56,15.56,13.33,15.09,16.98,16.98,18.87,18.87,13.21
169,149,"male",28,9,7,0,1,0,7,9,8,7,7,8,7,8,7,7,8,9,8,9,8,8,8,17.78,20,17.78,15.56,15.56,13.33,8.51,19.15,19.15,19.15,19.15,14.89
169,150,"male",28,8,9,0,1,0,7,9,8,7,7,9,9,9,9,9,7,7,8,9,7,9,8,17.78,20,17.78,15.56,15.56,13.33,12,20,20,20,14,14
169,151,"male",28,9,7,1,0,0,7,9,8,7,7,7,8,7,7,7,NA,9,9,9,9,8,7,17.78,20,17.78,15.56,15.56,13.33,14.55,16.36,18.18,18.18,16.36,16.36
169,152,"male",28,8,8,0,1,0,7,9,8,7,7,8,9,9,8,8,6,10,9,8,7,8,6,17.78,20,17.78,15.56,15.56,13.33,14,20,20,14,18,14
169,153,"male",28,8,7,0,1,0,7,9,8,7,7,7,7,7,7,NA,6,9,10,8,7,8,6,17.78,20,17.78,15.56,15.56,13.33,9.76,19.51,19.51,14.63,19.51,17.07
169,154,"male",28,10,8,1,1,1,7,9,8,7,7,9,9,9,9,8,9,10,9,9,9,9,10,17.78,20,17.78,15.56,15.56,13.33,15.38,17.31,17.31,17.31,17.31,15.38
169,155,"male",28,8,8,0,1,0,7,9,8,7,7,8,8,8,7,8,6,9,8,8,8,8,8,17.78,20,17.78,15.56,15.56,13.33,15.09,18.87,18.87,16.98,16.98,13.21
169,156,"male",28,8,9,0,1,0,7,9,8,7,7,7,9,10,8,9,10,8,8,10,8,10,8,17.78,20,17.78,15.56,15.56,13.33,14,18,16,18,18,16
169,157,"male",28,9,7,1,1,1,7,9,8,7,7,8,7,7,8,7,8,10,8,8,9,9,8,17.78,20,17.78,15.56,15.56,13.33,14.29,16.33,16.33,18.37,18.37,16.33
170,142,"male",28,7,9,1,0,0,7,8,9,6,8,4,7,7,9,8,7,7,7,7,7,5,7,16.28,20.93,18.6,18.6,13.95,11.63,14.29,14.29,21.43,21.43,19.05,9.52
170,143,"male",28,4,4,0,0,0,7,8,9,6,8,5,5,9,6,7,8,5,7,7,5,7,3,16.28,20.93,18.6,18.6,13.95,11.63,8.33,20.83,20.83,14.58,16.67,18.75
170,144,"male",28,NA,5,0,0,0,7,8,9,6,8,5,7,8,6,7,5,NA,NA,NA,NA,NA,NA,16.28,20.93,18.6,18.6,13.95,11.63,16,16,16,18,18,16
170,145,"male",28,6,9,1,0,0,7,8,9,6,8,8,10,9,7,7,10,6,7,6,6,6,8,16.28,20.93,18.6,18.6,13.95,11.63,11.36,18.18,22.73,18.18,11.36,18.18
170,146,"male",28,5,6,1,0,0,7,8,9,6,8,6,8,8,NA,NA,NA,5,7,7,6,6,5,16.28,20.93,18.6,18.6,13.95,11.63,18.18,18.18,18.18,18.18,13.64,13.64
170,147,"male",28,6,5,1,0,0,7,8,9,6,8,4,7,8,4,6,4,7,7,7,6,6,7,16.28,20.93,18.6,18.6,13.95,11.63,18,18,20,18,16,10
170,148,"male",28,6,4,1,0,0,7,8,9,6,8,3,8,8,4,8,1,6,6,7,5,8,5,16.28,20.93,18.6,18.6,13.95,11.63,15.09,16.98,16.98,18.87,18.87,13.21
170,149,"male",28,6,4,1,0,0,7,8,9,6,8,4,8,7,4,8,NA,7,7,7,6,6,6,16.28,20.93,18.6,18.6,13.95,11.63,8.51,19.15,19.15,19.15,19.15,14.89
170,150,"male",28,6,8,1,0,0,7,8,9,6,8,5,6,9,6,9,3,6,7,7,7,6,7,16.28,20.93,18.6,18.6,13.95,11.63,12,20,20,20,14,14
170,151,"male",28,7,4,1,0,0,7,8,9,6,8,3,8,8,3,7,2,8,7,7,8,7,5,16.28,20.93,18.6,18.6,13.95,11.63,14.55,16.36,18.18,18.18,16.36,16.36
170,152,"male",28,4,6,0,0,0,7,8,9,6,8,4,6,7,6,8,NA,5,7,6,5,6,5,16.28,20.93,18.6,18.6,13.95,11.63,14,20,20,14,18,14
170,153,"male",28,6,4,1,0,0,7,8,9,6,8,5,5,7,5,NA,4,5,7,7,6,5,7,16.28,20.93,18.6,18.6,13.95,11.63,9.76,19.51,19.51,14.63,19.51,17.07
170,154,"male",28,6,6,1,0,0,7,8,9,6,8,6,10,10,5,9,6,6,6,7,5,7,7,16.28,20.93,18.6,18.6,13.95,11.63,15.38,17.31,17.31,17.31,17.31,15.38
170,155,"male",28,6,8,1,0,0,7,8,9,6,8,2,8,8,3,8,6,6,7,7,6,6,6,16.28,20.93,18.6,18.6,13.95,11.63,15.09,18.87,18.87,16.98,16.98,13.21
170,156,"male",28,6,3,1,0,0,7,8,9,6,8,4,8,10,3,10,8,6,8,8,7,8,8,16.28,20.93,18.6,18.6,13.95,11.63,14,18,16,18,18,16
170,157,"male",28,5,3,1,0,0,7,8,9,6,8,3,6,7,4,5,3,6,6,6,5,7,6,16.28,20.93,18.6,18.6,13.95,11.63,14.29,16.33,16.33,18.37,18.37,16.33
171,142,"male",29,7,7,1,1,1,10,10,10,10,10,4,10,9,5,6,2,7,8,9,9,8,7,19.57,10.87,19.57,19.57,19.57,10.87,14.29,14.29,21.43,21.43,19.05,9.52
171,143,"male",29,6,9,0,1,0,10,10,10,10,10,8,9,9,7,8,8,5,8,9,6,7,9,19.57,10.87,19.57,19.57,19.57,10.87,8.33,20.83,20.83,14.58,16.67,18.75
171,144,"male",29,8,6,1,0,0,10,10,10,10,10,5,7,8,7,7,6,8,9,9,9,8,10,19.57,10.87,19.57,19.57,19.57,10.87,16,16,16,18,18,16
171,145,"male",29,6,8,1,0,0,10,10,10,10,10,9,9,9,7,8,5,6,8,9,5,8,3,19.57,10.87,19.57,19.57,19.57,10.87,11.36,18.18,22.73,18.18,11.36,18.18
171,146,"male",29,8,7,1,0,0,10,10,10,10,10,8,8,8,7,NA,NA,6,8,9,6,7,7,19.57,10.87,19.57,19.57,19.57,10.87,18.18,18.18,18.18,18.18,13.64,13.64
171,147,"male",29,9,5,0,0,0,10,10,10,10,10,4,7,9,4,6,3,5,6,7,9,7,4,19.57,10.87,19.57,19.57,19.57,10.87,18,18,20,18,16,10
171,148,"male",29,8,9,1,0,0,10,10,10,10,10,4,8,8,7,8,5,7,7,7,6,8,6,19.57,10.87,19.57,19.57,19.57,10.87,15.09,16.98,16.98,18.87,18.87,13.21
171,149,"male",29,9,7,1,1,1,10,10,10,10,10,6,8,8,6,7,NA,8,7,8,6,9,10,19.57,10.87,19.57,19.57,19.57,10.87,8.51,19.15,19.15,19.15,19.15,14.89
171,150,"male",29,7,7,1,0,0,10,10,10,10,10,6,7,9,6,9,NA,7,9,9,7,8,5,19.57,10.87,19.57,19.57,19.57,10.87,12,20,20,20,14,14
171,151,"male",29,8,5,1,0,0,10,10,10,10,10,5,7,6,5,7,NA,9,9,8,8,7,6,19.57,10.87,19.57,19.57,19.57,10.87,14.55,16.36,18.18,18.18,16.36,16.36
171,152,"male",29,7,7,1,0,0,10,10,10,10,10,6,7,8,8,NA,8,7,7,8,5,7,4,19.57,10.87,19.57,19.57,19.57,10.87,14,20,20,14,18,14
171,153,"male",29,6,5,1,1,1,10,10,10,10,10,6,6,7,7,7,NA,6,8,8,6,7,4,19.57,10.87,19.57,19.57,19.57,10.87,9.76,19.51,19.51,14.63,19.51,17.07
171,154,"male",29,8,8,1,1,1,10,10,10,10,10,8,9,9,8,8,8,9,7,8,8,10,5,19.57,10.87,19.57,19.57,19.57,10.87,15.38,17.31,17.31,17.31,17.31,15.38
171,155,"male",29,8,5,1,0,0,10,10,10,10,10,4,7,7,4,8,5,10,8,8,8,9,6,19.57,10.87,19.57,19.57,19.57,10.87,15.09,18.87,18.87,16.98,16.98,13.21
171,156,"male",29,6,2,1,0,0,10,10,10,10,10,5,8,10,2,9,2,6,8,9,9,10,4,19.57,10.87,19.57,19.57,19.57,10.87,14,18,16,18,18,16
171,157,"male",29,9,6,1,0,0,10,10,10,10,10,5,7,7,6,7,5,9,8,9,9,10,5,19.57,10.87,19.57,19.57,19.57,10.87,14.29,16.33,16.33,18.37,18.37,16.33
172,142,"male",27,6,8,1,1,1,5,6,8,9,9,8,7,8,8,8,8,8,7,6,7,7,6,17.78,17.78,22.22,20,15.56,6.67,14.29,14.29,21.43,21.43,19.05,9.52
172,143,"male",27,1,9,0,1,0,5,6,8,9,9,8,8,9,8,8,NA,NA,8,9,2,8,1,17.78,17.78,22.22,20,15.56,6.67,8.33,20.83,20.83,14.58,16.67,18.75
172,144,"male",27,4,7,0,0,0,5,6,8,9,9,5,8,7,7,8,7,4,7,8,5,6,4,17.78,17.78,22.22,20,15.56,6.67,16,16,16,18,18,16
172,145,"male",27,3,9,0,1,0,5,6,8,9,9,9,9,9,7,8,7,2,7,9,2,4,2,17.78,17.78,22.22,20,15.56,6.67,11.36,18.18,22.73,18.18,11.36,18.18
172,146,"male",27,1,6,0,0,0,5,6,8,9,9,8,8,8,7,NA,NA,1,4,5,1,3,1,17.78,17.78,22.22,20,15.56,6.67,18.18,18.18,18.18,18.18,13.64,13.64
172,147,"male",27,8,10,1,1,1,5,6,8,9,9,8,10,10,10,8,8,8,4,NA,7,8,6,17.78,17.78,22.22,20,15.56,6.67,18,18,20,18,16,10
